Région,Mois du cycle,Sites
Adamaoua,  April 2023 ,30
Adamaoua,  August 2023 ,18
Adamaoua,  December 2023 ,22
Adamaoua,  February 2023 ,22
Adamaoua,  January 2023 ,29
Adamaoua,  July 2023 ,17
Adamaoua,  June 2023 ,24
Adamaoua,  March 2023 ,26
Adamaoua,  May 2023 ,25
Adamaoua,  November 2023 ,34
Adamaoua,  October 2023 ,47
Adamaoua,  September 2023 ,47
Centre,  April 2023 ,149
Centre,  August 2023 ,171
Centre,  December 2023 ,114
Centre,  February 2023 ,203
Centre,  January 2023 ,165
Centre,  July 2023 ,160
Centre,  June 2023 ,7
Centre,  March 2023 ,182
Centre,  May 2023 ,150
Centre,  November 2023 ,176
Centre,  October 2023 ,189
Centre,  September 2023 ,6
Est,  April 2023 ,10
Est,  August 2023 ,71
Est,  December 2023 ,1
Est,  February 2023 ,68
Est,  January 2023 ,1
Est,  July 2023 ,15
Est,  June 2023 ,1
Est,  March 2023 ,2
Est,  May 2023 ,22
Est,  November 2023 ,60
Est,  October 2023 ,11
Est,  September 2023 ,2
Extrême-Nord,  April 2023 ,27
Extrême-Nord,  August 2023 ,3
Extrême-Nord,  December 2023 ,26
Extrême-Nord,  February 2023 ,25
Extrême-Nord,  January 2023 ,27
Extrême-Nord,  July 2023 ,4
Extrême-Nord,  June 2023 ,26
Extrême-Nord,  March 2023 ,27
Extrême-Nord,  May 2023 ,5
Extrême-Nord,  November 2023 ,29
Extrême-Nord,  October 2023 ,8
Extrême-Nord,  September 2023 ,29
Littoral,  April 2023 ,83
Littoral,  August 2023 ,81
Littoral,  December 2023 ,75
Littoral,  February 2023 ,79
Littoral,  January 2023 ,81
Littoral,  July 2023 ,81
Littoral,  June 2023 ,79
Littoral,  March 2023 ,81
Littoral,  May 2023 ,83
Littoral,  November 2023 ,80
Littoral,  October 2023 ,78
Littoral,  September 2023 ,82
Nord,  April 2023 ,38
Nord,  August 2023 ,5
Nord,  December 2023 ,1
Nord,  February 2023 ,38
Nord,  January 2023 ,7
Nord,  July 2023 ,44
Nord,  June 2023 ,4
Nord,  March 2023 ,2
Nord,  November 2023 ,41
Nord,  October 2023 ,37
Nord,  September 2023 ,41
Nord-Ouest,  April 2023 ,38
Nord-Ouest,  August 2023 ,41
Nord-Ouest,  December 2023 ,2
Nord-Ouest,  February 2023 ,49
Nord-Ouest,  January 2023 ,32
Nord-Ouest,  July 2023 ,7
Nord-Ouest,  June 2023 ,36
Nord-Ouest,  March 2023 ,29
Nord-Ouest,  May 2023 ,9
Nord-Ouest,  November 2023 ,40
Nord-Ouest,  October 2023 ,40
Nord-Ouest,  September 2023 ,4
Ouest,  April 2023 ,4
Ouest,  August 2023 ,2
Ouest,  February 2023 ,4
Ouest,  January 2023 ,63
Ouest,  July 2023 ,64
Ouest,  June 2023 ,5
Ouest,  March 2023 ,67
Ouest,  May 2023 ,59
Ouest,  November 2023 ,70
Ouest,  October 2023 ,7
Ouest,  September 2023 ,4
Sud,  April 2023 ,8
Sud,  August 2023 ,10
Sud,  December 2023 ,2
Sud,  February 2023 ,29
Sud,  January 2023 ,23
Sud,  July 2023 ,8
Sud,  June 2023 ,22
Sud,  March 2023 ,28
Sud,  May 2023 ,14
Sud,  November 2023 ,6
Sud,  October 2023 ,8
Sud,  September 2023 ,12
Sud-Ouest,  April 2023 ,17
Sud-Ouest,  August 2023 ,24
Sud-Ouest,  December 2023 ,22
Sud-Ouest,  February 2023 ,18
Sud-Ouest,  January 2023 ,25
Sud-Ouest,  July 2023 ,25
Sud-Ouest,  June 2023 ,29
Sud-Ouest,  March 2023 ,28
Sud-Ouest,  May 2023 ,31
Sud-Ouest,  November 2023 ,27
Sud-Ouest,  October 2023 ,19
Sud-Ouest,  September 2023 ,28
